z1 0.00063 zend -0.01316 60% between diff -0.00827
1.00000	0.00063
0.97839	0.00395
0.94890	0.00847
0.91354	0.01388
0.86508	0.02131
0.81254	0.03172
0.74197	0.04018
0.69090	0.04646
0.62672	0.04854
0.55731	0.04684
0.48789	0.04608
0.44206	0.04542
0.38047	0.04412
0.32729	0.04279
0.28168	0.04118
0.24352	0.03945
0.21501	0.03780
0.17729	0.03504
0.13869	0.03150
0.11011	0.02846
0.09175	0.02624
0.07645	0.02418
0.06200	0.02202
0.04952	0.01985
0.03911	0.01783
0.02651	0.01484
0.01945	0.01281
0.01435	0.01114
0.01127	0.00993
0.00841	0.00860
0.00513	0.00674
0.00220	0.00448
0.00101	0.00311
0.00000	0.00000
0.00101	-0.00261
0.00220	-0.00395
0.00513	-0.00601
0.00841	-0.00753
0.01127	-0.00844
0.01435	-0.00907
0.01945	-0.00964
0.02651	-0.01030
0.03911	-0.01122
0.04952	-0.01168
0.06200	-0.01208
0.07645	-0.01232
0.09175	-0.01257
0.11011	-0.01279
0.13869	-0.01300
0.17729	-0.01318
0.21501	-0.01322
0.24352	-0.01322
0.28168	-0.01324
0.32729	-0.01326
0.38047	-0.01327
0.44206	-0.01327
0.48789	-0.01327
0.55731	-0.01326
0.62672	-0.01324
0.69090	-0.01323
0.74197	-0.01321
0.81254	-0.01320
0.86508	-0.01318
0.91354	-0.01317
0.94890	-0.01316
0.97839	-0.01316
1.00000	-0.01316
